Speciesname,Speciescode,Code,post1984
AMERICAN CUPPED OYSTER - OYA,542,BFF,T
ATLANTIC RAZOR CLAM - CLR,512,BFF,T
BLUE MUSSEL - MUS,552,BFF,T
HARD CLAM - CLH,514,BFF,T
PERIWINKLES (NS) - PER,564,BFF,T
SOFT CLAM - CLS,518,BFF,T
STIMPSON'S SURF CLAM - CLT,525,BFF,T
NORTHERN BLUEFIN TUNA - BFT,280,BFT,T
ATLANTIC BLUE MARLIN - BUM,260,BIL,T
ATLANTIC WHITE MARLIN - WHM,256,BIL,T
SWORDFISH - SWO,264,BIL,T
BLUEFISH - BLU,228,BLF,T
GREAT BLUE SHARK - BSH,468,BLS,T
ATLANTIC ROCK CRAB - CRK,602,BMS,T
GREEN CRAB - CRG,606,BMS,T
JONAH CRAB - CRJ,608,BMS,T
QUEEN CRAB - CRQ,610,BMS,T
STONE KING CRAB - KCT,614,BMS,T
WHELKS (NS) - WHX,562,BMS,T
ARGENTINES (NS) - ARG,312,BPF,T
ATLANTIC BUTTERFISH - BUT,212,BUT,T
SURF CLAM - CLB,520,CLA,T
ATLANTIC COD - COD,101,COD,T
SPINY (=PICKED) DOGFISH - DGS,452,DOG,T
ALEWIFE - ALE,302,FDE,T
AMERICAN SHAD - SHA,310,FDE,T
BLUEBACK SHAD - BBH,334,FDE,T
RAINBOW SMELT - SMR,400,FDE,T
ATLANTIC HAGEFISH - MYG,309,FDF,T
ATLANTIC SEAROBINS - SRA,136,FDF,T
ATLANTIC TOMCOD - TOM,138,FDF,T
CUSK (TUSK) - USK,144,FDF,T
ROUNDNOSE GRENADIER - RNG,168,FDF,T
STURGEONS (NS) - STU,422,FDF,T
AMERICAN ANGLER - ANG,132,GOO,T
HADDOCK - HAD,102,HAD,T
ATLANTIC HALIBUT - HAL,120,HAL,T
ATLANTIC HERRING - HER,202,HER,T
(NORTHERN) SHORTFIN SQUID - SQI,504,ISQ,T
AMERICAN LOBSTER - LBA,622,LOB,T
LONGFIN SQUID - SQL,502,LSQ,T
ATLANTIC MACKEREL - MAC,204,MAK,T
ATLANTIC MENHADEN - MHA,216,MEN,T
NORTHERN PRAWN - PRA,632,OSH,T
PINK (=PANDALID) SHRIMPS - PAN,639,OSH,T
AMERICAN PLAICE - PLA,112,PLA,T
POLLOCK (SAITHE) - POK,106,POL,T
PORBEAGLE - POR,462,POR,T
BASKING SHARK - BSK,474,PSH,T
DUSKY SHARK - DUS,467,PSH,T
SHORTFIN MAKO SHARK - SMA,464,PSH,T
OCEAN QUAHOG - CLQ,516,QHG,T
RED CRAB - CRR,612,RCB,T
RED HAKE - HKR,105,RHK,T
SEA SCALLOP - SCA,536,SCA,T
SCUP - SCP,176,SCU,T
AMERICAN EEL - ELA,308,SDF,T
RED SEAWEEDS - SWR,704,SG,T
SEAWEEDS (NS) - SWX,709,SG,T
SILVER HAKE - HKS,104,SHK,T
BARNDOOR SKATE - RJL,484,SK,T
STRIPED BASS - STB,420,STB,T
SUMMER FLOUNDER - FLS,124,SUF,T
ALBACORE TUNA - ALB,272,TUN,T
BIGEYE TUNA - BET,278,TUN,T
YELLOWFIN TUNA - YFT,284,TUN,T
TILEFISH - TIL,182,TYL,T
WHITE HAKE - HKW,186,WHK,T
WINTER FLOUNDER - FLW,122,WIF,T
ATLANTIC WOLFFISH - CAA,189,WOL,T
NORTHERN WOLFFISH - CAB,191,WOL,T
SPOTTED WOLFFISH - CAS,190,WOL,T
WOLFFISHES (CATFISH) (NS) - CAT,188,WOL,T
WINTER SKATE - RJT,487,WSK,T
WITCH FLOUNDER - WIT,114,WTF,T
YELLOWTAIL FLOUNDER - YEL,116,YTF,T
ATLANTIC REDFISHES (NS) - RED,103,,T
BAIRD'S SLICKHEAD - ALC,326,,T
CLAMS (NS) - CLX,529,,T
DOGFISHES (NS) - DGX,459,,T
FINFISHES (NS) - FIN,499,,T
FLATFISHES (NS) - FLX,129,,T
GREENLAND HALIBUT - GHL,118,,T
GROUNDFISHES (NS) - GRO,199,,T
LARGE SHARKS (NS) - SHX,469,,T
LING - LIN,152,,T
MAHI MAHI (DOLPHINFISH) - DOL,263,,T
MARINE CRABS (NS) - CRA,619,,T
MARINE INVERTEBRATES (NS) - INV,699,,T
MARINE MOLLUSCS (NS) - MOL,589,,T
MARINE WORMS (NS) - WOR,669,,T
PELAGIC FISHES (NS) - PEL,299,,T
RED PORGY - RPG,404,,T
SCALLOPS (NS) - SCX,539,,T
SCULPINS (NS) - SCU,174,,T
SEA URCHIN - URC,652,,T
SKATES (NS) - SKA,479,,T
SQUIDS (NS) - SQU,509,,T
TUNAS (NS) - TUN,289,,T
BAY ANCHOVY - ANB,224,ANC,F
SANDEELS (SANDLANCES) - SAN,172,BPF,F
AMERICAN CONGER - COA,306,FDF,F
LUMPFISH (LUMPSUCKER) - LUM,154,FDF,F
OCEAN POUT - OPT,164,OPT,F
ATLANTIC SALMON - SAL,318,SAL,F
SKIPJACK TUNA - SKJ,282,TUN,F
ATLANTIC SAURY - SAU,220,,F
CAPELIN - CAP,340,,F
GRUNTS (NS) - GRX,356,,F
MARINE CRUSTACEANS (NS) - CRU,649,,F
ROUGH SCAD - RSC,406,,F
