Code,Name,SVSPP,NESPP3,comments
FDE,Alewife,33,1,
ANC,Bay anchovy,43,6,
GOO,Goosefish,197,11,
GOO,Goosefish,197,12,
FDF,Atlantic needlefish,471,19,
BLF,Bluefish,135,23,
BUT,Butterfish,131,51,
COD,Atlantic cod,73,81,
COD,Atlantic cod,73,82,
DRM,Atlantic croaker,136,90,
FDF,Cunner,176,93,
FDF,Cusk,84,96,
DRM,Black drum,147,106,
FDE,Blueback herring,34,112,
SDF,American eel,384,115,
FDF,Conger eel,63,116,
FDF,Eel unclassified,60,117,
WIF,Winter flounder,106,119,
WIF,Winter flounder,106,120,
SUF,Summer flounder,103,121,
WTF,Witch flounder,107,122,
YTF,Yellowtail flounder,105,123,
PLA,American plaice,102,124,
WPF,Windowpane flounder,108,125,
FOU,Fourspot flounder,104,127,
FLA,Hogchoker,118,128,
FLA,Gulfstream flounder,109,129,
FDF,Garfish,NA,133,
FDE,Gizzard shad,426,134,
FDF,Roughhead grenadier,92,137,
FDF,Grenadier unclassified,90,138,
HAD,Haddock,74,147,
HAD,Haddock,74,148,
FDF,Hagfish,NA,150,
RHK,Red hake,77,152,
WHK,White hake,76,153,
WHK,White hake,76,154,
HAL,Atlantic halibut,101,159,
BPF,Halfbeak,NA,164,
BPF,Harvest fish,749,165,
BPF,Round herring,31,166,
HER,Atlantic herring,32,168,
FDE,Hickory shad,37,173,
FDF,Hogfish,682,179,
FDF,John Dory,112,188,
DRM,Northern kingfish,146,196,
BPF,American sandlance,734,206,
FDF,Lumpfish,168,210,
MAK,Atlantic mackerel,121,212,
BPF,Chub mackerel,124,215,
BIL,White marlin,708,216,
BIL,Blue marlin,707,217,
MEN,Atlantic menhaden,36,221,
RED,Acadian redfish,155,240,
FDF,Blackbelly rosefish,156,242,
OPT,Ocean pout,193,250,
POL,Pollock,75,269,
POL,Pollock,75,270,
SK,Cownose ray,270,285,
SK,Atlantic stingray,373,286,
SAL,Atlantic salmon,894,305,
FDF,Sand perch,530,311,
FDF,Longhorn sculpin,163,326,unclassified code
FDF,Sculpins unclassified,160,326,
FDF,Sea raven,164,327,
SCU,Scup,143,329,
BSB,Black sea bass,141,335,
FDF,Northern searobin,171,340,
FDF,Searobin uncl,174,341,
FDF,Striped searobin,172,342,
FDF,Armored searobin,173,343,
DRM,Weakfish,145,344,
DSH,Chain dogfish,14,346,
FDE,American shad,35,347,
DSH,Nurse shark,350,348,
DSH,Sand tiger,12,349,
SMO,Smooth dogfish,13,351,
DOG,Spiny dogfish,15,352,
DSH,Thresher shark,925,353,
PSH,Shortfin mako,352,355,
FDF,Sheepshead,631,356,
BPF,Atlantic silverside,113,362,
SK,Rosette skate,25,364,
LSK,Little skate,26,366,
WSK,Winter skate,23,367,
SK,Barndoor skate,22,368,
SK,Smooth skate,27,369,
SK,Thorny skate,28,370,
FDE,Smelt,NA,371,
SK,Clearnose skate,24,372,
PSH,Great hammerhead,363,386,
DRM,Spot,149,406,
STB,Striped bass,139,418,
FDF,Atlantic sturgeon,380,420,
FDF,Sturgeon unclassified,NA,421,
FDF,Shortnose sturgeon,379,422,
