"Run.ID","Run.Group","Code","Type","Unit","Value","bio.file","run.sh.file"
1,"COD","COD","mQa","scalar",1.5,"at_biology_1.prm","RunAtlantis_1.sh"
2,"COD","COD","mQa","scalar",3,"at_biology_2.prm","RunAtlantis_2.sh"
3,"COD","COD","mQa","scalar",4.5,"at_biology_3.prm","RunAtlantis_3.sh"
4,"COD","COD","mQa","scalar",6,"at_biology_4.prm","RunAtlantis_4.sh"
5,"COD","COD","mQa","scalar",10,"at_biology_5.prm","RunAtlantis_5.sh"
6,"HER","HER","mum","scalar",0.1,"at_biology_6.prm","RunAtlantis_6.sh"
7,"HER","HER","mum","scalar",0.2,"at_biology_7.prm","RunAtlantis_7.sh"
8,"HER","HER","mum","scalar",0.4,"at_biology_8.prm","RunAtlantis_8.sh"
9,"HER","HER","mum","scalar",0.6,"at_biology_9.prm","RunAtlantis_9.sh"
10,"HER","HER","mum","scalar",0.8,"at_biology_10.prm","RunAtlantis_10.sh"
11,"LOB","LOB","C","scalar",1.05,"at_biology_11.prm","RunAtlantis_11.sh"
12,"LOB","LOB","C","scalar",1.1,"at_biology_12.prm","RunAtlantis_12.sh"
13,"LOB","LOB","C","scalar",1.15,"at_biology_13.prm","RunAtlantis_13.sh"
14,"LOB","LOB","C","scalar",1.2,"at_biology_14.prm","RunAtlantis_14.sh"
15,"LOB","LOB","C","scalar",1.25,"at_biology_15.prm","RunAtlantis_15.sh"
16,"MEN","MEN","mum","scalar",0.1,"at_biology_16.prm","RunAtlantis_16.sh"
17,"MEN","MEN","mum","scalar",0.2,"at_biology_17.prm","RunAtlantis_17.sh"
18,"MEN","MEN","mum","scalar",0.4,"at_biology_18.prm","RunAtlantis_18.sh"
19,"MEN","MEN","mum","scalar",0.6,"at_biology_19.prm","RunAtlantis_19.sh"
20,"MEN","MEN","mum","scalar",0.8,"at_biology_20.prm","RunAtlantis_20.sh"
21,"RED","RED","mum","scalar",0.01,"at_biology_21.prm","RunAtlantis_21.sh"
22,"RED","RED","mum","scalar",0.05,"at_biology_22.prm","RunAtlantis_22.sh"
23,"RED","RED","mum","scalar",0.1,"at_biology_23.prm","RunAtlantis_23.sh"
24,"RED","RED","mum","scalar",0.25,"at_biology_24.prm","RunAtlantis_24.sh"
25,"RED","RED","mum","scalar",0.5,"at_biology_25.prm","RunAtlantis_25.sh"
26,"TAU","TAU","mum","scalar",0.6,"at_biology_26.prm","RunAtlantis_26.sh"
27,"TAU","TAU","mum","scalar",0.65,"at_biology_27.prm","RunAtlantis_27.sh"
28,"TAU","TAU","mum","scalar",0.7,"at_biology_28.prm","RunAtlantis_28.sh"
29,"TAU","TAU","mum","scalar",0.75,"at_biology_29.prm","RunAtlantis_29.sh"
30,"ZL","ZL","mQa","scalar",2,"at_biology_30.prm","RunAtlantis_30.sh"
31,"ZL","ZL","mQa","scalar",2.5,"at_biology_31.prm","RunAtlantis_31.sh"
32,"ZL","ZL","mQa","scalar",3,"at_biology_32.prm","RunAtlantis_32.sh"
33,"ZL","ZL","mQa","scalar",3.5,"at_biology_33.prm","RunAtlantis_33.sh"
34,"ZL","ZL","mQa","scalar",5,"at_biology_34.prm","RunAtlantis_34.sh"
35,"ZL","ZL","mQa","scalar",7,"at_biology_35.prm","RunAtlantis_35.sh"
36,"ZL","ZL","mQa","scalar",10,"at_biology_36.prm","RunAtlantis_36.sh"
37,"MEN","MEN","BHalpha","scalar",0.75,"at_biology_37.prm","RunAtlantis_37.sh"
38,"MEN","MEN","BHalpha","scalar",0.5,"at_biology_38.prm","RunAtlantis_38.sh"
39,"MEN","MEN","BHalpha","scalar",0.25,"at_biology_39.prm","RunAtlantis_39.sh"
40,"MEN","MEN","BHalpha","scalar",0.1,"at_biology_40.prm","RunAtlantis_40.sh"
41,"MAK","MAK","mum","scalar",0.5,"at_biology_41.prm","RunAtlantis_41.sh"
42,"MAK","MAK","mum","scalar",0.25,"at_biology_42.prm","RunAtlantis_42.sh"
43,"MAK","MAK","mum","scalar",0.1,"at_biology_43.prm","RunAtlantis_43.sh"
44,"MAK","MAK","mum","scalar",0.05,"at_biology_44.prm","RunAtlantis_44.sh"
45,"MAK","MAK","C","scalar",0.5,"at_biology_45.prm","RunAtlantis_45.sh"
46,"MAK","MAK","C","scalar",0.25,"at_biology_46.prm","RunAtlantis_46.sh"
47,"MAK","MAK","C","scalar",0.1,"at_biology_47.prm","RunAtlantis_47.sh"
48,"MAK","MAK","C","scalar",0.05,"at_biology_48.prm","RunAtlantis_48.sh"
49,"MAK","MAK","E","value",0.5,"at_biology_49.prm","RunAtlantis_49.sh"
50,"MAK","MAK","E","value",0.6,"at_biology_50.prm","RunAtlantis_50.sh"
51,"MAK","MAK","E","value",0.7,"at_biology_51.prm","RunAtlantis_51.sh"
52,"MAK","MAK","E","value",0.8,"at_biology_52.prm","RunAtlantis_52.sh"
53,"MAK","MAK","E","value",0.9,"at_biology_53.prm","RunAtlantis_53.sh"
54,"MAK","MAK","E","value",0.1,"at_biology_54.prm","RunAtlantis_54.sh"
