"Run.ID","Group","Code","Type","Unit","Value","bio.file","run.sh.file"
1,"Set1","SB","mQa","scalar",1,"at_biology_1.prm","RunAtlantis_1.sh"
2,"Set1","SB","mQa","scalar",52632.5263157895,"at_biology_2.prm","RunAtlantis_2.sh"
3,"Set1","SB","mQa","scalar",105264.052631579,"at_biology_3.prm","RunAtlantis_3.sh"
4,"Set1","SB","mQa","scalar",157895.578947368,"at_biology_4.prm","RunAtlantis_4.sh"
5,"Set1","SB","mQa","scalar",210527.105263158,"at_biology_5.prm","RunAtlantis_5.sh"
6,"Set1","SB","mQa","scalar",263158.631578947,"at_biology_6.prm","RunAtlantis_6.sh"
7,"Set1","SB","mQa","scalar",315790.157894737,"at_biology_7.prm","RunAtlantis_7.sh"
8,"Set1","SB","mQa","scalar",368421.684210526,"at_biology_8.prm","RunAtlantis_8.sh"
9,"Set1","SB","mQa","scalar",421053.210526316,"at_biology_9.prm","RunAtlantis_9.sh"
10,"Set1","SB","mQa","scalar",473684.736842105,"at_biology_10.prm","RunAtlantis_10.sh"
11,"Set1","SB","mQa","scalar",526316.263157895,"at_biology_11.prm","RunAtlantis_11.sh"
12,"Set1","SB","mQa","scalar",578947.789473684,"at_biology_12.prm","RunAtlantis_12.sh"
13,"Set1","SB","mQa","scalar",631579.315789474,"at_biology_13.prm","RunAtlantis_13.sh"
14,"Set1","SB","mQa","scalar",684210.842105263,"at_biology_14.prm","RunAtlantis_14.sh"
15,"Set1","SB","mQa","scalar",736842.368421053,"at_biology_15.prm","RunAtlantis_15.sh"
16,"Set1","SB","mQa","scalar",789473.894736842,"at_biology_16.prm","RunAtlantis_16.sh"
17,"Set1","SB","mQa","scalar",842105.421052632,"at_biology_17.prm","RunAtlantis_17.sh"
18,"Set1","SB","mQa","scalar",894736.947368421,"at_biology_18.prm","RunAtlantis_18.sh"
19,"Set1","SB","mQa","scalar",947368.473684211,"at_biology_19.prm","RunAtlantis_19.sh"
20,"Set1","SB","mQa","scalar",1e+06,"at_biology_20.prm","RunAtlantis_20.sh"
21,"Set2","SB","KDENR","scalar",0.001,"at_biology_21.prm","RunAtlantis_21.sh"
22,"Set2","SB","KDENR","scalar",0.0535789473684211,"at_biology_22.prm","RunAtlantis_22.sh"
23,"Set2","SB","KDENR","scalar",0.106157894736842,"at_biology_23.prm","RunAtlantis_23.sh"
24,"Set2","SB","KDENR","scalar",0.158736842105263,"at_biology_24.prm","RunAtlantis_24.sh"
25,"Set2","SB","KDENR","scalar",0.211315789473684,"at_biology_25.prm","RunAtlantis_25.sh"
26,"Set2","SB","KDENR","scalar",0.263894736842105,"at_biology_26.prm","RunAtlantis_26.sh"
27,"Set2","SB","KDENR","scalar",0.316473684210526,"at_biology_27.prm","RunAtlantis_27.sh"
28,"Set2","SB","KDENR","scalar",0.369052631578947,"at_biology_28.prm","RunAtlantis_28.sh"
29,"Set2","SB","KDENR","scalar",0.421631578947368,"at_biology_29.prm","RunAtlantis_29.sh"
30,"Set2","SB","KDENR","scalar",0.474210526315789,"at_biology_30.prm","RunAtlantis_30.sh"
31,"Set2","SB","KDENR","scalar",0.52678947368421,"at_biology_31.prm","RunAtlantis_31.sh"
32,"Set2","SB","KDENR","scalar",0.579368421052632,"at_biology_32.prm","RunAtlantis_32.sh"
33,"Set2","SB","KDENR","scalar",0.631947368421053,"at_biology_33.prm","RunAtlantis_33.sh"
34,"Set2","SB","KDENR","scalar",0.684526315789474,"at_biology_34.prm","RunAtlantis_34.sh"
35,"Set2","SB","KDENR","scalar",0.737105263157895,"at_biology_35.prm","RunAtlantis_35.sh"
36,"Set2","SB","KDENR","scalar",0.789684210526316,"at_biology_36.prm","RunAtlantis_36.sh"
37,"Set2","SB","KDENR","scalar",0.842263157894737,"at_biology_37.prm","RunAtlantis_37.sh"
38,"Set2","SB","KDENR","scalar",0.894842105263158,"at_biology_38.prm","RunAtlantis_38.sh"
39,"Set2","SB","KDENR","scalar",0.947421052631579,"at_biology_39.prm","RunAtlantis_39.sh"
40,"Set2","SB","KDENR","scalar",1,"at_biology_40.prm","RunAtlantis_40.sh"
41,"Set3","SB","mLa","scalar",1,"at_biology_41.prm","RunAtlantis_41.sh"
42,"Set3","SB","mLa","scalar",52632.5263157895,"at_biology_42.prm","RunAtlantis_42.sh"
43,"Set3","SB","mLa","scalar",105264.052631579,"at_biology_43.prm","RunAtlantis_43.sh"
44,"Set3","SB","mLa","scalar",157895.578947368,"at_biology_44.prm","RunAtlantis_44.sh"
45,"Set3","SB","mLa","scalar",210527.105263158,"at_biology_45.prm","RunAtlantis_45.sh"
