Run.ID,Run.Group,Code,Type,Unit,Value
1,BLF,BLF,mum,scalar,1.5
2,BLF,BLF,mum,scalar,3
3,BLF,BLF,mum,scalar,4.5
4,BLF,BLF,mum,scalar,6
5,COD,COD,mQa,scalar,2
6,COD,COD,mQa,scalar,4
7,COD,COD,mQa,scalar,6
8,COD,COD,mQa,scalar,8
9,COD,COD,mQa,scalar,10
10,COD,COD,mum,scalar,0.5
11,COD,COD,mum,scalar,0.4
12,COD,COD,mum,scalar,0.3
13,COD,COD,mum,scalar,0.25
14,MAK,1SHK2:MAK,diet,scalar,0
17,MAK,2SHK1:MAK,diet,scalar,0
20,MAK,1SHK1:MAK,diet,scalar,0
23,MAK,2SHK2:MAK,diet,scalar,0
26,MAK,1WHK1:MAK,diet,scalar,0
29,MAK,1WHK2:MAK,diet,scalar,0
32,MAK,2WHK1:MAK,diet,scalar,0
35,MAK,2WHK2:MAK,diet,scalar,0
38,MAK,MAK,mum,scalar,20
39,MAK,MAK,mum,scalar,50
40,MAK,MAK,mum,scalar,100
41,MAK,MAK,C,scalar,2
42,MAK,MAK,C,scalar,5
43,MAK,MAK,C,scalar,10
44,TAU,TAU,mum,scalar,0.9
45,TAU,TAU,mum,scalar,0.7
46,TAU,TAU,mum,scalar,0.5
47,TAU,TAU,mum,scalar,0.3
48,WHK,WHK,BHalpha,scalar,0.25
49,WHK,WHK,BHalpha,scalar,0.1
50,WHK,WHK,BHalpha,scalar,0.075
51,WHK,WHK,BHalpha,scalar,0.05
52,WTF,WTF,mum,scalar,0.75
53,WTF,WTF,mum,scalar,0.5
54,WTF,WTF,mum,scalar,0.25
55,WTF,WTF,mum,scalar,0.1
56,HER,HER,mum,scalar,0.25
57,HER,HER,mum,scalar,0.1
58,HER,HER,mum,scalar,0.05
59,BUT,BUT,mum,scalar,0.75
60,BUT,BUT,mum,scalar,0.5
61,BUT,BUT,mum,scalar,0.25
62,BUT,BUT,BHalpha,scalar,0.8
63,BUT,BUT,BHalpha,scalar,0.6
64,BUT,BUT,BHalpha,scalar,0.4
65,BUT,BUT,BHalpha,scalar,0.2
66,FDF,FDF,mum,scalar,1.25
67,FDF,FDF,mum,scalar,1.5
68,FDF,FDF,mum,scalar,1.75
69,FDF,FDF,mum,scalar,2
70,GOO,GOO,mum,scalar,0.9
71,GOO,GOO,mum,scalar,0.8
72,GOO,GOO,C,scalar,0.9
73,GOO,GOO,C,scalar,0.8
74,BPF,BPF,mum,scalar,1.25
75,BPF,BPF,mum,scalar,1.5
76,BPF,BPF,mum,scalar,1.75
77,BPF,BPF,mum,scalar,2
78,BPF,BPF,BHalpha,scalar,1.25
79,BPF,BPF,BHalpha,scalar,1.5
80,BPF,BPF,BHalpha,scalar,1.75
81,BPF,BPF,BHalpha,scalar,2
82,PSH,PSH,mum,scalar,0.8
83,PSH,PSH,mum,scalar,0.6
84,PSH,PSH,mum,scalar,0.4
85,PSH,PSH,mum,scalar,0.2
86,PSH,PSH,mQa,scalar,1.5
87,PSH,PSH,mQa,scalar,3
88,PSH,PSH,mQa,scalar,4.5
89,PSH,PSH,mQa,scalar,6
90,POL,POL,mum,scalar,0.8
91,POL,POL,mum,scalar,0.6
92,POL,POL,mum,scalar,0.4
93,POL,POL,mum,scalar,0.2
94,POR,POR,mum,scalar,0.8
95,POR,POR,mum,scalar,1.5
96,POR,POR,mum,scalar,3
97,POR,POR,mum,scalar,5
98,POR,POR,KDENR,scalar,1.5
99,POR,POR,KDENR,scalar,3
100,POR,POR,KDENR,scalar,4.5
101,POR,POR,KDENR,scalar,6
102,RWH,RWH,KDENR,scalar,2
103,RWH,RWH,KDENR,scalar,5
104,RWH,RWH,KDENR,scalar,7
105,RWH,RWH,C,scalar,1.5
106,RWH,RWH,C,scalar,3
107,RWH,RWH,C,scalar,4.5
108,TYL,TYL,mum,scalar,1.1
109,TYL,TYL,mum,scalar,1.25
110,TYL,TYL,mum,scalar,1.5
111,TYL,TYL,mum,scalar,0.75
112,WOL,WOL,mum,scalar,0.75
113,WOL,WOL,mum,scalar,0.5
,WOL,WOL,mum,scalar,0.25
,WOL,WOL,C,scalar,0.75
,WOL,WOL,C,scalar,0.5
,WOL,WOL,C,scalar,0.25
