"","species","1","2","3","4","5","6","7","8","9","10","Code"
"3","Anchovies",0.047,0.227,0.298,0.385,0.439,0.471,0.489,0.499,0.505,0.508,"ANC"
"4","Atlantic bluefin tuna",22.329,804.628,2864.805,5671.752,8644.891,11415.503,13811.323,15787.421,17367.002,18602.776,"BFT"
"12","Billfish",47.336,5139.47,19096.969,27169.468,44051.641,59807.62,74292.512,86041.038,95733.027,103551.085,"BIL"
"15","Bluefish",1.003,6.007,14.123,25.169,37.549,50.224,62.468,73.833,84.085,93.14,"BLF"
"14","Blue shark",2.025,392.323,1101.569,1651.812,1982.578,2162.08,2255.109,2302.281,2325.949,2337.762,"BLS"
"30","Other benthopelagic fish",1.526,4.15,5.711,6.423,6.721,6.842,6.89,6.909,6.916,6.919,"BPF"
"13","Black sea bass",0.302,7.126,20.381,34.372,46.121,54.95,61.194,65.456,68.303,70.179,"BSB"
"16","Butterfish",1.02,2.715,3.754,4.275,4.51,4.612,4.655,4.674,4.682,4.685,"BUT"
"11","Baleen whales",81041.071,1303659.006,1330071.387,1330366.788,1330370.07,1330370.106,1330370.107,1330370.107,1330370.107,1330370.107,"BWH"
"5","Atlantic cod",0.754,19.673,70.736,147.884,239.841,336.479,430.545,517.602,595.398,663.188,"COD"
"47","Spiny dogfish",0.53,37.26,117.7,200.036,264.769,309.87,339.381,358.032,369.587,376.663,"DOG"
"17","Drums and croakers",1.761,15.107,26.683,32.735,35.447,36.596,37.072,37.267,37.347,37.38,"DRM"
"31","Other demersal sharks",57.929,3415.862,6400.265,7564.739,7941.848,8057.831,8092.966,8103.562,8106.753,8107.713,"DSH"
"43","Shallow demersal fish",2.746,11.316,20.231,26.846,31.106,33.669,35.156,36.003,36.481,36.749,"FDE"
"25","Miscellaneous demersal fish",0.48,2.96,7.582,13.656,20.389,27.156,33.543,39.32,44.39,48.743,"FDF"
"32","Other flatfish",0.046,0.203,0.476,0.836,1.245,1.671,2.089,2.483,2.844,3.166,"FLA"
