"","species","1","2","3","4","5","6","7","8","9","10","Code"
"3","Anchovies",0.24,1.24,1.49,1.92,2.2,2.36,2.45,2.5,2.52,2.54,"ANC"
"4","Atlantic bluefin tuna",111.64,4023.14,14324.03,28358.76,43224.45,57077.52,69056.62,78937.1,86835.01,93013.88,"BFT"
"12","Billfish",127.64,8565.79,31828.28,45282.45,73419.4,99679.37,123820.85,143401.73,159555.05,172585.14,"BIL"
"15","Bluefish",5.02,41.5,70.83,125.85,187.75,251.12,312.34,369.17,420.43,465.7,"BLF"
"14","Blue shark",10.12,1961.61,5507.84,8259.06,9912.89,10810.4,11275.55,11511.41,11629.74,11688.81,"BLS"
"30","Other benthopelagic fish",7.63,20.75,28.55,32.12,33.61,34.21,34.45,34.54,34.58,34.6,"BPF"
"13","Black sea bass",1.51,35.63,101.9,171.86,230.6,274.75,305.97,327.28,341.51,350.9,"BSB"
"16","Butterfish",5.1,17.84,18.77,21.38,22.55,23.06,23.28,23.37,23.41,23.42,"BUT"
"11","Baleen whales",405205.35,6518295.03,6650356.94,6651833.94,6651850.35,6651850.53,6651850.53,6651850.53,6651850.53,6651850.53,"BWH"
"5","Atlantic cod",3.77,98.37,353.68,739.42,1199.21,1682.39,2152.72,2588.01,2976.99,3315.94,"COD"
"47","Spiny dogfish",2.65,186.3,588.5,1000.18,1323.85,1549.35,1696.91,1790.16,1847.94,1883.32,"DOG"
"17","Drums and croakers",8.81,75.54,133.42,163.68,177.23,182.98,185.36,186.34,186.74,186.9,"DRM"
"31","Other demersal sharks",289.64,17079.31,32001.32,37823.7,39709.24,40289.16,40464.83,40517.81,40533.76,40538.57,"DSH"
"43","Shallow demersal fish",13.73,58.63,101.16,134.23,155.53,168.34,175.78,180.02,182.41,183.74,"FDE"
"25","Miscellaneous demersal fish",2.4,14.8,37.91,68.28,101.95,135.78,167.71,196.6,221.95,243.72,"FDF"
"32","Other flatfish",0.23,1.02,2.38,4.18,6.22,8.35,10.45,12.42,14.22,15.83,"FLA"
"18","Fourspot Flounder",0.35,5.51,15.93,28.31,40.18,50.38,58.59,64.94,69.73,73.28,"FOU"
"26","Monkfish",3.21,25.8,79.43,168.15,291.26,445.3,625.4,826.16,1042.21,1268.51,"GOO"
