NEUS.Code,NHRA.COMNAME
RED,acadian redfish
LOB,american lobster
PLA,american plaice
COD,atlantic cod
HAL,atlantic halibut
HER,atlantic herring
MAK,atlantic mackerel
MEN,atlantic menhaden
WOL,atlantic wolffish
SK,barndoor skate
BSB,black sea bass
BLF,bluefish
BUT,butterfish
GOO,goosefish
HAD,haddock
LSK,little skate
LSQ,longfin squid
ISQ,northern shortfin squid
NSH,northern shrimp
OPT,ocean pout
POL,pollock
RHK,red hake
SCU,scup
SCA,sea scallop
SHK,silver hake
SK,smooth skate
DOG,spiny dogfish
SUF,summer flounder
TAU,tautog
SK,thorny skate
DRM,weakfish
WHK,white hake
WPF,windowpane
WIF,winter flounder
WSK,winter skate
WTF,witch flounder
YTF,yellowtail flounder
SK,clearnose skate
DRM,atlantic croaker
SSH,sandbar shark
DRM,black drum
DRM,red drum
STB,striped bass
CLA,atlantic surfclam
QHG,ocean quahog
