"Code","min_bottom_temp","max_bottom_temp","min_surface_temp","max_surface_temp","min_bottom_sal","max_bottom_sal","min_surface_sal","max_surface_sal"
"BLF",5.4,34,5.4,34,"0","39.5","0","39.4"
"BSB",2.3,30.42,2.76,31.3,"3.6","36.7","3","37.07"
"BUT",3.36,34.3,0.6,34.4,"0","39.5","0.7","39.4"
"COD",-1,24.78000069,-0.6,27,"11.58998","35.535","0.05","34.957"
"DOG",0.6,22.91,-0.5,28.58,"2.5","37.77","10.2","36.478"
"DRM",0.2,39.8,-0.4,38.5,"0","41.5","0","39.4"
"FDE",0.1,38.1,-0.09,34.7,"0","38.78","0","39"
"HAD",1.6,20.1,0.6,27.03,"22.19","35.742","0.05","35.891"
"HAL",2,14.1,1.21,20.82,"25.98","34.96","11.5","33.95"
"HER",-0.5,26.6,-0.75,29.7,"0.4","38.78","0","37"
"LSK",-1.4,24.3,-1.4,28.36,"3.6","36.19844","6.3","36.363"
"MAK",2.48,24.54000092,1.21,27.4,"20.5","36.18","7.64","36.25"
"OHK",3.2,17.64,2.2,29.76,"32.234","36.344","29.884","36.624"
"OPT",0.1,20.2,0.4,27.03,"22.7","36.19844","11.3","36.187"
"PLA",1.3,21.9,0.7,25.2,"20.25","38.78","9.8","35.691"
"POL",1.6,21.3,0.6,25.2,"22.19","35.512","0.05","35.445"
"QHG",3,20.7,4.6,25.3,"29.33","34.185","11","33.95"
"RED",1.5,24.82999992,1.17,26.1,"20.25","38.78","9.8","35.968"
"RHK",0.1,25,-0.4,30.8,"2","38.78","0","36.407"
"SAL",3.5,8.7,3.7,8.4,"25.8","25.8","25.3","25.3"
"SCU",3.35,28.51,3.14,30.2,"3.6","39.5","6.9","39.4"
"SDF",0.5,36.4,2.75,36.4,"0","35.726","0","35.7"
"SHK",1,24.46,0.4,29.76,"6.8","38.78","0.05","36.606"
"SK",1.7,28.8,0.7,29.8,"3.6","37.77","2","36.93"
"SUF",1.74,38.1,0.9,34,"0","41.5","0","37"
"TAU",-0.5,30.6,-0.35688,32,"9.1","35.31","6.6","36.6"
"TYL",7.95,17.95,6.64,28.8,"33.118","36.359","32.057","36.43"
"WHK",1.3,25.3,0.6,29.13,"20.25","38.78","0.05","36.389"
"WIF",-1.4,28.15999985,-1.4,32.3,"5.7","38.78","0","36"
"WPF",-1.2,38.1,-0.9,32,"0.5","41.5","0","36.94"
"WSK",-1.4,23.6,-1.4,24.41538,"11.58998","36.431","11","36.43"
"WTF",1.5,26.1,1.5,26.73,"20.25","35.894","11","36.478"
"YTF",-1,19.6,-0.6,27,"20.25","35.786","11.2","35.764"
