"Code","1","2","3","4","5","6","7","8","9","10"
"ANC",2460.51948540327,5386.81057994438,8993.84871019306,12884.8217588975,16757.1752190799,20412.2233421221,23737.6222530137,26683.9591327501,29243.6861407998,31434.7794283191
"BFT",97158263.7500715,265770138.982945,444026960.171066,578498250.99946,668697387.015461,725697669.384031,760573842.109053,781530502.636491,793993605.352343,801361404.248938
"BIL",111281793.684653,298090653.49342,466124893.618318,586526698.881159,664377505.366206,712159870.724433,740677686.437326,757436047.817037,767198389.370806,772857129.050321
"BLF",156433.295238403,544180.840012621,1054604.69551315,1580148.17967457,2058371.21948809,2463483.54607607,2791600.17980307,3049610.94600149,3248453.07205498,3399566.01485775
"BLS",71779241.8875851,72876559.5281402,72883699.4750706,72883745.6988093,72883745.9980502,72883745.9999874,72883745.9999999,72883746,72883746,72883746
"BPF",63475.2574019361,172668.973842546,237623.661700111,267277.750436031,279669.162488918,284679.472395858,286679.726077946,287474.309221857,287789.329941004,287914.126052306
"BSB",296527.921744131,1146016.80801641,1919082.80537697,2428310.77591372,2723624.59470085,2885227.66891794,2971202.37195395,3016300.40597974,3039787.22602335,3051974.06952769
"BUT",42456.899759091,112082.623203737,156198.539541166,177899.713426329,187656.935789243,191890.974886718,193701.666959245,194471.300234249,194797.592753053,194935.77720176
"BWH",55356700112.3842,55356700140.4816,55356700140.4816,55356700140.4816,55356700140.4816,55356700140.4816,55356700140.4816,55356700140.4816,55356700140.4816,55356700140.4816
"COD",818611.130002505,4441401.1070429,9979799.29910787,15985319.5180064,21537408.6403985,26237093.8741997,30007854.6803003,32931046.9633654,35145922.7593314,36798156.5545567
"DOG",5796407.4227556,12493368.0838173,15040595.090855,15815259.4832019,16037794.9684039,16100732.2814855,16118454.832495,16123439.2433016,16124840.6119467,16125234.5691783
"DRM",628609.04088355,1259852.24392177,1474946.81483856,1534807.49665968,1550681.07464586,1554838.82695918,1555924.39085305,1556207.58937547,1556281.45330642,1556300.71743178
"DSH",308816463.777989,336359793.026318,337343781.058769,337377927.294301,337379111.045461,337379152.081262,337379153.503803,337379153.553117,337379153.554826,337379153.554885
"FDE",114242.569590295,470859.058262416,841813.304763319,1117064.66933811,1294331.73211756,1400944.43670632,1462836.51709122,1498093.9513752,1517972.9845881,1529118.00476872
"FDF",19962.0438384346,123151.446299805,315489.109768166,568207.461584569,848389.72898018,1129953.48359714,1395708.66858655,1636088.50313776,1847061.75226286,2028203.16291544
"FLA",1923.77545396294,8455.35093763478,19808.0892334971,34766.3934151836,51792.8124271967,69523.1900312448,86930.9283836527,103332.661830263,118331.284386763,131743.963606548
"FOU",45854.5370879383,183625.514622822,334387.74432949,455442.063021223,540426.15093762,596167.982971155,631398.668367165,653201.386112106,666529.869838176,674619.288778075
"GOO",26724.9143114252,214666.473805915,661018.968918496,1399370.48262572,2423862.19369639,3705752.63253676,5204551.40074882,6875316.49906998,8673268.42724076,10556551.0262714
"HAD",783466.549902098,1772070.67815858,2183821.48167969,2319474.865916,2361424.20344982,2374159.08118734,2378003.84936537,2379162.69725242,2379511.81047837,2379616.96816117
"HAL",2363259.59568057,17269847.7825935,47278283.3389314,88655309.31382,136287656.590191,185723206.942566,233752101.275989,278365572.956526,318505182.856563,353784791.331213
"HER",1153.9980651435,24476.6249330838,76774.3310861703,142896.498440853,209389.874012537,268810.504392107,318364.232782916,357929.385684477,388626.402273748,411984.035965584
"INV",549501.798036896,1102597.23702135,1279316.71841899,1325198.66846652,1336567.28203489,1339352.85144234,1340033.52627336,1340199.74404385,1340240.32711715,1340250.23532833
"LSK",1974140.18262786,2656815.99326138,2750044.28191215,2761610.75519575,2763029.40500729,2763203.16171737,2763224.43985218,2763227.0455042,2763227.36458315,2763227.40365642
"MAK",134095.356965003,249877.101724421,373551.957684064,491700.434602351,597145.318949622,687162.414258968,761711.816655086,822146.117135933,870390.690884295,908474.388305635
"MEN",4316.50573672558,23169.8274040214,54759.9863427201,93249.5634504227,133479.18712702,171983.29262699,206836.120365917,237220.336363054,263019.561229662,284512.641456373
"MPF",777.804461338765,1814.39362626141,2971.65983739562,4065.95561234301,5010.06283731657,5780.41911021106,6386.81141223707,6852.8010659646,7205.04416336902,7468.26468537214
"OHK",246050.100121183,446259.71797324,505310.373319456,519998.190374921,523517.863834492,524354.00980298,524552.24170602,524599.215404752,524610.34517414,524612.982147699
"OPT",133509.797021552,724251.892173851,1653001.07979197,2686083.06995822,3662153.85889817,4504022.35476465,5190743.47769797,5731055.96447434,6146015.61165996,6459458.24929313
"PIN",160174890.618004,184411487.200932,185677073.127838,185740231.199952,185743376.022977,185743532.595408,185743540.390692,185743540.778797,185743540.798119,185743540.799081
"PLA",115166.044643599,539883.946857245,1052396.02476826,1484566.62060528,1796142.2664299,2003615.20809826,2135900.09762405,2218189.40312064,2268649.20084917,2299330.69630303
"POL",1139130.8785123,4670217.00511607,8591451.53744772,11763149.4714218,13998651.7710894,15468246.4873077,16398296.1060904,16974306.8594061,17326596.2237311,17540468.599571
"POR",105254065.283895,118004810.308814,118519945.57561,118539989.721696,118540768.519133,118540798.77691,118540799.952481,118540799.998154,118540799.999928,118540799.999997
"PSH",324513791.599142,347234460.66853,347817056.685313,347831657.532524,347832023.245753,347832032.405787,347832032.635219,347832032.640965,347832032.641109,347832032.641113
"RED",33357.6670592125,96872.2451244892,155350.520793304,197161.645156385,223881.906353052,240027.289290891,249497.98301841,254964.338134074,258091.324370784,259871.162598538
"REP",191968502.606398,192626640.400681,192627345.505806,192627346.260342,192627346.261149,192627346.26115,192627346.26115,192627346.26115,192627346.26115,192627346.26115
"RHK",232608.663621338,892495.989352254,1558827.3391486,2051868.02200919,2371924.36884015,2566844.97585294,2681662.49044153,2748085.1042749,2786129.78352406,2807799.63704199
"RWH",67684136583.4917,67686777780.9792,67686777815.3345,67686777815.3349,67686777815.3349,67686777815.3349,67686777815.3349,67686777815.3349,67686777815.3349,67686777815.3349
"SAL",2310417.13741536,8583930.7559688,14628833.6357459,18910916.3629891,21581396.0462872,23148438.324832,24039823.0836388,24538610.0409997,24815259.2850094,24967967.5207122
"SB",611698.163192776,826217.982637513,851379.035986016,854060.363673536,854343.301039858,854373.126058564,854376.269632843,854376.600963584,854376.635885592,854376.639566345
"SCU",96748.077339411,415749.013475329,780521.781821264,1079917.7194328,1292623.40434913,1433085.33309644,1522211.31629851,1577495.20739122,1611337.92069098,1631894.81436154
"SDF",1414338.13769781,4979536.8821648,10345726.4433394,16721264.2194985,23392105.4269185,29850516.5086556,35790938.2304018,41064014.2650042,45626620.9421353,49500869.2283939
"SHK",10104.6911210207,55320.1165151635,136356.519656892,243487.564227059,365591.70918239,493206.813119528,619305.525910436,739170.936335829,849968.567809602,950271.764216768
"SK",7178314.48404197,16714240.3759017,22364171.1350551,25030593.2399971,26191083.8190394,26680471.5659084,26884241.5856861,26968646.7838945,27003534.2737358,27017941.7434934
"SMO",2211620.84465747,5455702.78202305,8093844.81232558,9821338.64422353,10850087.4931886,11435046.4838608,11759878.7177512,11938030.681526,12035091.9096447,12087785.599867
"SSH",11071562.2159796,24633973.8870265,34430551.4567281,40212477.3112109,43345628.9258591,44977637.8350169,45811668.7039081,46233916.2748306,46446694.8955498,46553668.9305191
"STB",1767639.23635294,3308689.86036151,4608224.31496735,5564796.84124516,6221232.25409369,6654394.42118973,6933762.33979104,7111490.29318772,7223619.89274577,7294002.84348083
"SUF",983369.231091766,3559561.44412022,5905391.43576755,7472808.35054595,8397008.32448561,8911262.14587249,9189346.21841369,9337551.98778046,9415948.6474904,9457256.81825481
"SWH",300299856.059394,301122119.47996,301122869.971295,301122870.655655,301122870.656279,301122870.65628,301122870.65628,301122870.65628,301122870.65628,301122870.65628
"TAU",102432.530884909,540378.640515999,1229514.74749766,2007677.64274075,2758476.48535807,3421507.35657306,3975855.29952657,4423034.74539484,4775099.37950436,5047627.66301861
"TUN",24668077.7388959,37678476.3872882,41094184.172181,41883292.1273439,42060724.1106435,42100382.3349469,42109234.6582863,42111210.0467834,42111650.8239081,42111749.1749954
"TWH",17848637322.8069,17897509412.7575,17897554018.9982,17897554059.6739,17897554059.7109,17897554059.711,17897554059.711,17897554059.711,17897554059.711,17897554059.711
"TYL",515262.036603326,2878327.45996975,6313149.42535916,9776984.41961918,12738273.5834498,15055279.0349984,16776333.2678475,18014294.5978103,18886695.1865994,19493331.2456497
"WHK",25171.3276160789,163115.064336522,460052.132043729,924320.237655436,1543816.55965029,2296106.22715178,3154562.77138738,4092056.03637522,5083073.13916474,6104833.83995658
"WIF",770406.497826518,2045131.54257155,2793972.30517044,3133530.07033452,3274726.5218993,3331582.43878855,3354194.95325138,3363144.8777517,3366680.47895994,3368076.14496035
"WOL",61338.531906069,377246.46058581,1017236.45890659,1961646.53301096,3153612.26825923,4525179.1917625,6010513.56263988,7552022.03582415,9102550.33843076,10625482.0220982
"WPF",90682.3777242421,322491.926801331,539914.377516307,692007.821312574,786259.184865043,841381.881656211,872681.440708933,890178.58444319,899878.146304144,905230.682829993
"WSK",2562820.68922677,9947498.67536032,17256584.2133013,22499583.0719641,25790137.8403768,27727490.4703291,28831492.2014886,29449850.9976133,29793001.2885653,29982472.3068474
"WTF",45084.1199370677,238752.900531539,545081.694002605,892729.414417206,1229771.37947088,1528782.07527939,1779874.27388041,1983270.53254944,2144044.25009323,2268974.03226916
"YTF",22346.7429471478,102348.262303053,213703.142000228,328231.646784022,430523.072949858,515017.394109249,581577.220298774,632438.139096934,670525.739868951,698659.209032285
