MAK	HER	WHK	BLF	WPF	SUF	WIF	WTF	FOU	HAL	PLA	FLA	BFT	TUN	BIL	MPF	BUT	BPF	ANC	GOO	MEN	FDE	COD	SHK	OHK	POL	RHK	BSB	SCU	TYL	RED	OPT	SAL	DRM	STB	TAU	WOL	SDF	FDF	HAD	YTF	DOG	SMO	SSH	DSH	BLS	POR	PSH	WSK	LSK	SK	SB	PIN	REP	RWH	BWH	SWH	TWH	INV	LSQ	ISQ	SCA	QHG	CLA	BFF	BG	LOB	RCB	BMS	NSH	OSH	ZL	BD	MA	MB	SG	BC	ZG	PL	DF	PS	ZM	ZS	PB	BB	BO	DL	DR	DC	DLsed	DRsed	DCsed
pPREY1MAK1	xx																																																																																										
0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.1	0.2	0.05	0	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0.03	0.1	0	0	0	0	0	0.1	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0
pPREY1MAK2	xx																																																																																										
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.1	0.2	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0.03	0.1	0	0	0	0	0	0.1	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0
pPREY2MAK1	xx																																																																																										
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.1	0.2	0.05	0	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0.07	0	0	0	0	0	0	0	0	0.06	0.03	0.1	0	0	0	0	0	0.1	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0
pPREY2MAK2	xx																																																																																										
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.1	0.2	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0.03	0.1	0	0	0	0	0	0.1	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0
pPREY1HER1	xx																																																																																										
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-04	1.00E-04	0	0	0	0	0	0.075	0.075	0.2	0	0	0	0	0	0	0.05	0	0	0.2	0.1	0	0	0	0.05	0	0	0.05	0	0
pPREY1HER2	xx																																																																																										
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0.05	0	0	0.2	0.1	0	0	0	0.05	0	0	0.05	0	0
pPREY2HER1	xx																																																																																										
