"Species","Cohort","N.Type","N.Value"
"Anchovies",1,"Reserve",15.6702154201362
"Anchovies",1,"Structural",5.91328883778725
"Anchovies",2,"Reserve",34.306772499045
"Anchovies",2,"Structural",12.9459518864321
"Anchovies",3,"Reserve",57.2787769334573
"Anchovies",3,"Structural",21.6146328050782
"Anchovies",4,"Reserve",82.0590667173239
"Anchovies",4,"Structural",30.9656855537071
"Anchovies",5,"Reserve",106.720774646868
"Anchovies",5,"Structural",40.2719904327803
"Anchovies",6,"Reserve",129.998538468214
"Anchovies",6,"Structural",49.0560522521561
"Anchovies",7,"Reserve",151.17687808336
"Anchovies",7,"Structural",57.0478785220227
"Anchovies",8,"Reserve",169.941099980264
"Anchovies",8,"Structural",64.1287169736845
"Anchovies",9,"Reserve",186.243134518432
"Anchovies",9,"Structural",70.280428120163
"Anchovies",10,"Reserve",200.197465717485
"Anchovies",10,"Structural",75.5462134782963
"Atlantic_Salmon",1,"Reserve",14714.2643935369
"Atlantic_Salmon",1,"Structural",5552.55260133467
"Atlantic_Salmon",2,"Reserve",54668.1482896355
"Atlantic_Salmon",2,"Structural",20629.4899206172
"Atlantic_Salmon",3,"Reserve",93166.0878027558
"Atlantic_Salmon",3,"Structural",35157.0142651909
"Atlantic_Salmon",4,"Reserve",120437.222691471
"Atlantic_Salmon",4,"Structural",45448.0085628192
"Atlantic_Salmon",5,"Reserve",137444.603515167
"Atlantic_Salmon",5,"Structural",51865.8881189309
"Atlantic_Salmon",6,"Reserve",147424.565154542
"Atlantic_Salmon",6,"Structural",55631.9113790724
"Atlantic_Salmon",7,"Reserve",153101.492842208
"Atlantic_Salmon",7,"Structural",57774.1482423427
"Atlantic_Salmon",8,"Reserve",156278.098074139
"Atlantic_Salmon",8,"Structural",58972.8671977882
"Atlantic_Salmon",9,"Reserve",158039.983430125
"Atlantic_Salmon",9,"Structural",59637.7295962735
"Atlantic_Salmon",10,"Reserve",159012.530473173
"Atlantic_Salmon",10,"Structural",60004.7284804427
"Atlantic_States_Demersals",1,"Reserve",9007.44067507632
"Atlantic_States_Demersals",1,"Structural",3399.03421700993
"Atlantic_States_Demersals",2,"Reserve",31712.9842291202
"Atlantic_States_Demersals",2,"Structural",11967.1638600454
"Atlantic_States_Demersals",3,"Reserve",65888.428442321
"Atlantic_States_Demersals",3,"Structural",24863.5579027627
"Atlantic_States_Demersals",4,"Reserve",106492.069650737
"Atlantic_States_Demersals",4,"Structural",40185.6866606555
"Atlantic_States_Demersals",5,"Reserve",148976.39841705
"Atlantic_States_Demersals",5,"Structural",56217.5088366228
"Atlantic_States_Demersals",6,"Reserve",190107.83164609
"Atlantic_States_Demersals",6,"Structural",71738.804394751
"Atlantic_States_Demersals",7,"Reserve",227940.366043177
"Atlantic_States_Demersals",7,"Structural",86015.2324691233
"Atlantic_States_Demersals",8,"Reserve",261522.80173579
"Atlantic_States_Demersals",8,"Structural",98687.8497116189
"Atlantic_States_Demersals",9,"Reserve",290580.498670175
"Atlantic_States_Demersals",9,"Structural",109653.018366104
"Atlantic_States_Demersals",10,"Reserve",315254.274105372
"Atlantic_States_Demersals",10,"Structural",118963.877020895
"Baleen_Whale",1,"Reserve",352548078.100981
"Baleen_Whale",1,"Structural",133037010.604144
"Baleen_Whale",2,"Reserve",352548078.279923
"Baleen_Whale",2,"Structural",133037010.671669
"Baleen_Whale",3,"Reserve",352548078.279923
"Baleen_Whale",3,"Structural",133037010.671669
"Baleen_Whale",4,"Reserve",352548078.279923
"Baleen_Whale",4,"Structural",133037010.671669
"Baleen_Whale",5,"Reserve",352548078.279923
"Baleen_Whale",5,"Structural",133037010.671669
"Baleen_Whale",6,"Reserve",352548078.279923
"Baleen_Whale",6,"Structural",133037010.671669
"Baleen_Whale",7,"Reserve",352548078.279923
"Baleen_Whale",7,"Structural",133037010.671669
"Baleen_Whale",8,"Reserve",352548078.279923
"Baleen_Whale",8,"Structural",133037010.671669
"Baleen_Whale",9,"Reserve",352548078.279923
"Baleen_Whale",9,"Structural",133037010.671669
"Baleen_Whale",10,"Reserve",352548078.279923
