#' Northeast US Sea Scallop
#'
#' @description Biomass (mt) of from 1975-2017 of individuals >= 40mm. Individuals < 40mm are excluded since survey can not sample smaller than this size. Contrubute very little to biomass. No value for Gulf of Maine. Expected at most 5% of biomass (Dvora Hart communication). This data set is from 65 SAW 2018 assessment p80 table A9.4
#'
#' @source email communication July 15, 2021
#'
#' @contact Dvora Hart
#'
#' NA,millions,NA,mt gonads,NA,mt meats,NA,mt meats,NA,NA,NA
Year,Abundance,CV,SSB,CV_1,Bms,CV_2,ExplBms,CV_3,F,CV_4
1975,3155,0.05,24467,0.12,51187,0.06,40059,0.07,0.14,0.06
1976,2656,0.05,25882,0.12,54945,0.06,44644,0.07,0.25,0.06
1977,2503,0.05,23387,0.12,50681,0.06,40429,0.07,0.33,0.06
1978,2247,0.05,19788,0.12,43303,0.06,33816,0.07,0.49,0.07
1979,1590,0.05,15045,0.13,33670,0.06,26831,0.07,0.57,0.07
1980,1770,0.05,12590,0.13,27793,0.06,24120,0.07,0.41,0.06
1981,1582,0.06,11328,0.13,25481,0.06,22251,0.07,0.46,0.06
1982,1436,0.06,9895,0.14,22308,0.06,19699,0.07,0.54,0.07
1983,1228,0.07,8585,0.16,19016,0.07,16550,0.08,0.58,0.08
1984,1165,0.08,7726,0.19,16680,0.09,14170,0.1,0.53,0.09
1985,1564,0.08,7951,0.19,17184,0.09,12841,0.12,0.62,0.1
1986,2407,0.06,10091,0.16,21877,0.07,14430,0.11,0.7,0.1
1987,2824,0.06,12468,0.15,26813,0.07,18502,0.1,0.89,0.09
1988,2818,0.07,13599,0.15,29433,0.07,21588,0.1,0.76,0.09
1989,3098,0.06,14395,0.14,31035,0.06,22370,0.09,0.85,0.09
1990,2954,0.05,13278,0.13,29763,0.06,21729,0.08,1.06,0.08
1991,2629,0.06,11055,0.13,25171,0.06,18226,0.08,1.28,0.07
1992,1869,0.09,8688,0.2,19932,0.09,15250,0.12,1.24,0.09
1993,3023,0.1,11799,0.25,25459,0.11,15289,0.19,0.57,0.13
1994,3083,0.09,16861,0.24,35024,0.11,26576,0.15,0.43,0.13
1995,3571,0.09,21609,0.23,44896,0.11,36259,0.14,0.34,0.12
1996,3109,0.1,24901,0.23,52290,0.11,46252,0.12,0.27,0.11
1997,3036,0.1,27237,0.23,56780,0.11,51949,0.12,0.18,0.11
1998,5324,0.09,35097,0.2,72954,0.1,45315,0.16,0.21,0.11
1999,6981,0.07,46844,0.18,97602,0.08,54332,0.15,0.3,0.12
2000,8386,0.06,59879,0.15,124294,0.07,75756,0.12,0.29,0.1
2001,9127,0.05,71049,0.14,147771,0.07,97544,0.1,0.32,0.08
2002,8184,0.05,75545,0.13,157358,0.06,107600,0.09,0.33,0.07
2003,9954,0.07,79073,0.12,164400,0.06,116122,0.08,0.32,0.07
2004,8041,0.05,76710,0.11,160016,0.05,112320,0.07,0.37,0.06
2005,7195,0.04,72255,0.1,152093,0.05,108273,0.07,0.32,0.06
2006,6737,0.04,65531,0.1,139620,0.05,102115,0.07,0.34,0.06
2007,6601,0.04,59716,0.1,125255,0.05,87578,0.07,0.39,0.06
2008,7370,0.04,59962,0.1,125025,0.05,81766,0.07,0.4,0.06
2009,6832,0.04,62474,0.1,130493,0.05,84113,0.07,0.4,0.06
2010,6124,0.05,60677,0.11,127542,0.05,90761,0.07,0.34,0.06
2011,5226,0.05,52478,0.11,112971,0.05,83525,0.07,0.36,0.06
2012,6233,0.06,47299,0.13,102703,0.06,69064,0.09,0.43,0.07
2013,6029,0.06,51650,0.14,108199,0.06,64933,0.11,0.35,0.07
2014,11538,0.07,72799,0.13,151369,0.06,81066,0.12,0.21,0.07
2015,17091,0.06,107706,0.12,222660,0.06,96973,0.14,0.19,0.07
2016,16008,0.06,137994,0.12,285114,0.06,146639,0.12,0.14,0.08
2017,14171,0.06,153182,0.13,317334,0.06,214921,0.09,0.12,0.07
