Code,Name,SVSPP,NESPP3
MAK,Atlantic mackerel,121,212
HER,Atlantic herring,32,168
WHK,White hake,76,153
WHK,White hake,76,154
BLF,Bluefish,135,23
WPF,Windowpane flounder,108,125
SUF,Summer flounder,103,121
WIF,Winter flounder,106,119
WIF,Winter flounder,106,120
WTF,Witch flounder,107,122
FOU,Fourspot flounder,104,127
HAL,Atlantic halibut,101,159
PLA,American plaice,102,124
FLA,Gulfstream flounder,109,129
FLA,Hogchoker,118,128
BFT,Atlantic bluefin tuna,747,467
TUN,Albacore,703,470
TUN,Bigeye tuna,706,469
TUN,Blackfin tuna,705,464
TUN,Little tunny,743,468
BIL,Blue marlin,707,217
BIL,White marlin,708,216
BIL,Swordfish,700,432
MPF,Lanternfish,56,655
MPF,Weitzmans pearlsides,229,NA
BUT,Butterfish,131,51
BPF,Argentine,46,NA
BPF,American sandlance,734,206
BPF,Harvest fish,749,165
BPF,Atlantic silverside,113,362
BPF,Round herring,31,166
BPF,Chub mackerel,124,215
BPF,Halfbeak,NA,164
ANC,Bay anchovy,43,6
ANC,Striped anchovy,44,NA
GOO,Goosefish,197,11
GOO,Goosefish,197,12
MEN,Menhaden,36,221
FDE,Alewife,33,1
FDE,Gizzard shad,426,134
FDE,Blueback herring,34,112
FDE,Hickory shad,37,173
FDE,American shad,35,347
FDE,Smelt,NA,371
COD,Atlantic cod,73,81
COD,Atlantic cod,73,82
SHK,Silver hake,72,509
OHK,Offshore hake,69,508
POL,Pollock,75,269
POL,Pollock,75,270
RHK,Red hake,77,152
BSB,Black sea bass,141,335
SCU,Scup,143,329
TYL,Blueline tilefish,621,444
TYL,Tilefish,151,446
TYL,Tilefish unclassified,NA,447
RED,Acadian redfish,155,240
OPT,Ocean pout,193,250
SAL,Atlantic salmon,894,305
DRM,Atlantic croaker,136,90
DRM,Weakfish,145,344
DRM,Northern kingfish,146,196
DRM,Black drum,147,106
DRM,Silver perch,148,NA
DRM,Spot,149,406
STB,Striped Bass,139,418
TAU,Tautog,177,438
WOL,Northern wolffish,NA,668
WOL,Spotted wolffish,NA,510
SDF,American eel,384,115
FDF,Spotted hake,78,662
FDF,Fourbeard rockling,83,526
FDF,Threebeard rockling,85,NA
FDF,Cusk,84,96
FDF,Roughhead grenadier,92,137
FDF,Grenadier unclassified,90,138
FDF,Longspine snipefish,111,NA
FDF,John Dory,112,188
FDF,Threespine stickleback,115,NA
FDF,Fourspine stickleback,488,NA
FDF,Ninespine stickleback,902,522
FDF,Blackspotted stickleback,901,NA
FDF,Pipefish unclassified,421,NA
FDF,Chain pipefish,495,NA
FDF,Dusky pipefish,494,NA
FDF,Northern pipefish,116,526
FDF,Whitenose pipefish,491,NA
FDF,Trumpetfish,119,NA
FDF,Atlantic moonfish,132,NA
FDF,Lookdown,133,526
FDF,Longspine scorpionfish,154,NA
FDF,Blackbelly rosefish,156,242
FDF,Longhorn sculpin,163,326
FDF,Moustache sculpin,161,NA
FDF,Shorthorn sculpin,162,NA
FDF,Sculpins unclassified,160,326
FDF,Sea raven,164,327
FDF,Armored searobin,173,343
FDF,Northern searobin,171,340
FDF,Striped searobin,172,342
FDF,Searobin uncl,174,341
FDF,Cunner,176,93
FDF,Conger eel,63,116
FDF,Eel unclassified,60,117
FDF,Northern puffer,196,429
FDF,Wrymouth,191,NA
FDF,Garfish,NA,133
FDF,Hagfish,NA,150
FDF,Hogfish,682,179
FDF,Lumpfish,168,210
FDF,Oyster toadfish,185,451
FDF,Sand perch,530,311
FDF,Atlantic needlefish,471,19
FDF,Sheepshead,631,356
FDF,Atlantic sturgeon,380,420
FDF,Shortnose sturgeon,379,422
FDF,Sturgeon unclassified,NA,421
FDF,Tomcod,453,453
FDF,Inshore lizardfish,435,526
FDF,Largescale lizardfish,433,NA
FDF,Lizardfish unclassified,852,NA
FDF,Offshore lizardfish,437,NA
FDF,Red lizardfish,438,NA
FDF,Shortjaw lizardfish,434,NA
HAD,Haddock,74,147
HAD,Haddock,74,148
YTF,Yellowtail flounder,105,123
DOG,Spiny dogfish,15,352
SMO,Smooth dogfish,13,351
SSH,Sandbar shark,9,482
DSH,Chain dogfish,14,346
DSH,Atlantic angel shark,16,477
DSH,Nurse shark,350,348
DSH,Sand tiger,12,349
DSH,Bull shark,356,489
DSH,Lemon shark,359,492
DSH,Sharpnose shark,360,494
DSH,Scalloped hammerhead,362,478
DSH,Thresher shark,925,353
BLS,Blue shark,17,493
POR,Porbeagle shark,353,481
PSH,Dusky shark,3,484
PSH,Great hammerhead,363,386
PSH,Shortfin mako,352,355
PSH,White shark,351,480
PSH,Blacknose shark,354,503
PSH,Silky shark,355,485
PSH,Blacktip shark,357,487
PSH,Tiger shark,358,491
PSH,Finetooth shark,928,499
PSH,Bignose shark,929,483
WSK,Winter skate,23,367
LSK,Little skate,26,366
SK,Barndoor skate,22,368
SK,Clearnose skate,24,372
SK,Rosette skate,25,364
SK,Smooth skate,27,369
SK,Thorny skate,28,370
SK,Atlantic torpedo,21,526
SK,Bullnose ray,19,NA
SK,Cownose ray,270,285
SK,Spotted eagle ray,271,NA
SK,Bluntnose stingray,18,NA
SK,Roughtail stingray,4,NA
SK,Atlantic stingray,373,286
SK,Yellow stingray,377,NA
SB,Seabirds,NA,NA
