|Code|Functional_Group|Species|Scientific_Name|SVSPP|NESPP3|Species_Itis|
|---|---|---|---|---|---|---|
|ANC|Anchovies|Bay anchovy|ANCHOA MITCHILLI|43|006|161839|
|ANC|Anchovies|Striped anchovy|NA|44| NA|NA|
|BB|Sediment Bacteria|Sediment Bacteria|NA|NA| NA|NA|
|BC|Benthic Carnivore|Starfish|ASTEROIDEA|NA|828|156862|
|BC|Benthic Carnivore|Common octopus|NA|511| NA|NA|
|BC|Benthic Carnivore|Octopus unclassified|OCTOPODIDAE|510|786|082590|
|BC|Benthic Carnivore|Spoonarm octopus|NA|512| NA|NA|
|BC|Benthic Carnivore|Unicorn octopus|NA|513| NA|NA|
|BD|Deposit Feeder|Deposit Feeder|NA|NA| NA|NA|
|BFF|Other benthic filter feeder|Bay scallop|ARGOPECTEN IRRADIANS|402|799|079737|
|BFF|Other benthic filter feeder|Atlantic calico scallop|ARGOPECTEN GIBBUS|404|797|079734|
|BFF|Other benthic filter feeder|Iceland scallop|CHLAMYS ISLANDICA|340|795|079619|
|BFF|Other benthic filter feeder|Scallop unclassified|PECTINIDAE|NA|796|079611|
|BFF|Other benthic filter feeder|Arctic surfclam|MACTROMERIS POLYNYMA|407|765|080983|
|BFT|Atlantic bluefin tuna|Atlantic bluefin tuna|THUNNUS THYNNUS|747|467|172421|
|BG|Benthic grazer|Benthic grazer|NA|331| NA|NA|
|BIL|Billfish|Blue marlin|MAKAIRA NIGRICANS|707|217|172491|
|BIL|Billfish|White marlin|TETRAPTURUS ALBIDUS|708|216|172499|
|BIL|Billfish|Swordfish|XIPHIAS GLADIUS|700|432|172482|
|BLF|Bluefish|Bluefish|POMATOMUS SALTATRIX|135|023|168559|
|BLS|Blue shark|Blue shark|PRIONACE GLAUCA|17|493|160424|
|BMS|Shallow macrozoobenthos|Atantic rock crab|CANCER IRRORATUS|313|712|098679|
|BMS|Shallow macrozoobenthos|Blue crab|CALLINECTES SAPIDUS|314|700|098696|
|BMS|Shallow macrozoobenthos|Cancer crab|CANCER|311|714|098671|
|BMS|Shallow macrozoobenthos|Green crab|CARCINUS MAENAS|327|708|098734|
|BMS|Shallow macrozoobenthos|Hermit crab|PAGURUS|NA|702|097775|
|BMS|Shallow macrozoobenthos|Horseshoe crab|LIMULUS POLYPHEMUS|318|724|082703|
|BMS|Shallow macrozoobenthos|Jonah crab|CANCER BOREALIS|312|711|098678|
|BMS|Shallow macrozoobenthos|Lady crab|OVALIPES OCELLATUS|322|701|098714|
|BMS|Shallow macrozoobenthos|Snow crab|CHIONOECETES OPILIO|325|718|098428|
|BMS|Shallow macrozoobenthos|Spider crab|MAJIDAE|317|715|098417|
|BMS|Shallow macrozoobenthos|Knobbed whelk|BUSYCON CARICA|337|777|074071|
|BO|Meiobenthos|Meiobenthos|NA|NA| NA|NA|
|BPF|Other benthopelagic fish|Argentine|NA|46| NA|NA|
|BPF|Other benthopelagic fish|American sandlance|AMMODYTES|734|206|171671|
|BPF|Other benthopelagic fish|American sandlance|AMMODYTES AMERICANUS|734|206|171673|
|BPF|Other benthopelagic fish|Harvest fish|PEPRILUS|749|165|172564|
|BPF|Other benthopelagic fish|Harvest fish|PEPRILUS ALEPIDOTUS|749|165|172570|
|BPF|Other benthopelagic fish|Atlantic silverside|MENIDIA MENIDIA|113|362|165994|
|BPF|Other benthopelagic fish|Round herring|ETRUMEUS TERES|31|166|161743|
|BPF|Other benthopelagic fish|Chub mackerel|SCOMBER COLIAS|124|215|172413|
|BPF|Other benthopelagic fish|Halfbeak|HEMIRAMPHIDAE|NA|164|553172|
|BSB|Black sea bass|Black sea bass|CENTROPRISTIS STRIATA|141|335|167687|
|BUT|Butterfish|Butterfish|PEPRILUS TRIACANTHUS|131|051|172567|
|BWH|Baleen whales|Baleen whales|NA|NA| NA|NA|
|CLA|Atlantic surf clam|Atlantic surf clam|SPISULA SOLIDISSIMA|403|769|080944|
|COD|Atlantic cod|Atlantic cod|GADUS MORHUA|73|081|164712|
|COD|Atlantic cod|Atlantic cod|GADUS MORHUA|73|082|164712|
|DC|Carrion|Carrion3|NA|NA| NA|NA|
|DF|Dinoflagellates|Dinoflagellates|NA|NA| NA|NA|
|DL|Labile detritus|Labile detritus|NA|NA| NA|NA|
|DOG|Spiny dogfish|Spiny dogfish|SQUALUS ACANTHIAS|15|352|160617|
|DR|Refractory detritus|Refractory detritus|NA|NA| NA|NA|
|DRM|Drums and croakers|Atlantic croaker|MICROPOGONIAS UNDULATUS|136|090|169283|
|DRM|Drums and croakers|Weakfish|CYNOSCION REGALIS|145|344|169241|
|DRM|Drums and croakers|Northern kingfish|MENTICIRRHUS SAXATILLIS|146|196|169276|
|DRM|Drums and croakers|Black drum|POGONIAS CROMIS|147|106|169288|
|DRM|Drums and croakers|Silver perch|NA|148| NA|NA|
|DRM|Drums and croakers|Spot|LEIOSTOMUS XANTHURUS|149|406|169267|
|DSH|Other demersal sharks|Chain dogfish|SCYLIORHINUS RETIFER|14|346|160060|
|DSH|Other demersal sharks|Atlantic angel shark|SQUATINA DUMERIL|16|477|160787|
|DSH|Other demersal sharks|Nurse shark|GINGLYMOSTOMA CIRRATUM|350|348|159977|
|DSH|Other demersal sharks|Sand tiger|CARCHARIAS TAURUS|12|349|159888|
|DSH|Other demersal sharks|Bull shark|CARCHARHINUS LEUCAS|356|489|160275|
|DSH|Other demersal sharks|Lemon shark|NEGAPRION BREVIROSTRIS|359|492|160433|
|DSH|Other demersal sharks|Sharpnose shark|RHIZOPRIONODON TERRAENOVAE|360|494|160200|
|DSH|Other demersal sharks|Scalloped hammerhead|SPHYRNA LEWINI|362|478|160508|
|DSH|Other demersal sharks|Thresher shark|ALOPIAS VULPINUS|925|353|159916|
|FDE|Shallow demersal fish|Alewife|ALOSA PSEUDOHARENGUS|33|001|161706|
|FDE|Shallow demersal fish|Gizzard shad|DOROSOMA CEPEDIANUM|426|134|161737|
|FDE|Shallow demersal fish|Blueback herring|ALOSA AESTIVALIS|34|112|161703|
|FDE|Shallow demersal fish|Hickory shad|ALOSA MEDIOCRIS|37|173|161704|
|FDE|Shallow demersal fish|American shad|ALOSA SAPIDISSIMA|35|347|161702|
|FDE|Shallow demersal fish|Smelt|OSMERIDAE|NA|371|162028|
|FDF|Miscellaneous demersal fish|Spotted hake|UROPHYCIS REGIA|78|662|164731|
|FDF|Miscellaneous demersal fish|Fourbeard rockling|OSTEICHTHYES|83|526|161030|
|FDF|Miscellaneous demersal fish|Threebeard rockling|NA|85| NA|NA|
|FDF|Miscellaneous demersal fish|Cusk|BROSME BROSME|84|096|164740|
|FDF|Miscellaneous demersal fish|Roughhead grenadier|MACROURUS BERGLAX|92|137|165421|
|FDF|Miscellaneous demersal fish|Grenadier unclassified|MACROURIDAE|90|138|165332|
|FDF|Miscellaneous demersal fish|Longspine snipefish|NA|111| NA|NA|
|FDF|Miscellaneous demersal fish|John Dory|ZENOPSIS OCELLATA|112|188|166283|
|FDF|Miscellaneous demersal fish|Threespine stickleback|NA|115| NA|NA|
|FDF|Miscellaneous demersal fish|Fourspine stickleback|NA|488| NA|NA|
|FDF|Miscellaneous demersal fish|Ninespine stickleback|Pungitius pungitius|902|522|166387|
|FDF|Miscellaneous demersal fish|Blackspotted stickleback|NA|901| NA|NA|
|FDF|Miscellaneous demersal fish|Pipefish unclassified|NA|421| NA|NA|
|FDF|Miscellaneous demersal fish|Chain pipefish|NA|495| NA|NA|
|FDF|Miscellaneous demersal fish|Dusky pipefish|NA|494| NA|NA|
|FDF|Miscellaneous demersal fish|Northern pipefish|OSTEICHTHYES|116|526|161030|
|FDF|Miscellaneous demersal fish|Whitenose pipefish|NA|491| NA|NA|
|FDF|Miscellaneous demersal fish|Trumpetfish|NA|119| NA|NA|
|FDF|Miscellaneous demersal fish|Atlantic moonfish|NA|132| NA|NA|
|FDF|Miscellaneous demersal fish|Lookdown|OSTEICHTHYES|133|526|161030|
|FDF|Miscellaneous demersal fish|Longspine scorpionfish|NA|154| NA|NA|
|FDF|Miscellaneous demersal fish|Blackbelly rosefish|HELICOLENUS DACTYLOPTERUS|156|242|166787|
|FDF|Miscellaneous demersal fish|Longhorn sculpin|COTTIDAE|163|326|167196|
|FDF|Miscellaneous demersal fish|Moustache sculpin|NA|161| NA|NA|
|FDF|Miscellaneous demersal fish|Shorthorn sculpin|NA|162| NA|NA|
|FDF|Miscellaneous demersal fish|Sculpins unclassified|COTTIDAE|160|326|167196|
|FDF|Miscellaneous demersal fish|Sea raven|HEMITRIPTERUS AMERICANUS|164|327|167289|
|FDF|Miscellaneous demersal fish|Armored searobin|PERISTEDION MINIATUM|173|343|167010|
|FDF|Miscellaneous demersal fish|Northern searobin|PRIONOTUS CAROLINUS|171|340|166974|
|FDF|Miscellaneous demersal fish|Striped searobin|PRIONOTUS EVOLANS|172|342|166975|
|FDF|Miscellaneous demersal fish|Searobin uncl|TRIGLIDAE|174|341|166972|
|FDF|Miscellaneous demersal fish|Cunner|TAUTOGOLABRUS ADSPERSUS|176|093|170481|
|FDF|Miscellaneous demersal fish|Conger eel|CONGER OCEANICUS|63|116|161326|
|FDF|Miscellaneous demersal fish|Eel unclassified|ANGUILLIFORMES|60|117|161123|
|FDF|Miscellaneous demersal fish|Northern puffer|SPHOEROIDES MACULATUS|196|429|173290|
|FDF|Miscellaneous demersal fish|Wrymouth|NA|191| NA|NA|
|FDF|Miscellaneous demersal fish|Garfish|LEPISOSTEIDAE|NA|133|161092|
|FDF|Miscellaneous demersal fish|Hagfish|MYXINIDAE|NA|150|159753|
|FDF|Miscellaneous demersal fish|Hogfish|LACHNOLAIMUS MAXIMUS|682|179|170566|
|FDF|Miscellaneous demersal fish|Lumpfish|CYCLOPTERUS LUMPUS|168|210|167612|
|FDF|Miscellaneous demersal fish|Oyster toadfish|BATRACHOIDIDAE|185|451|164412|
|FDF|Miscellaneous demersal fish|Sand perch|DIPLECTRUM FORMOSUM|530|311|167793|
|FDF|Miscellaneous demersal fish|Atlantic needlefish|STRONGYLURA MARINA|471|019|165551|
|FDF|Miscellaneous demersal fish|Sheepshead|ARCHOSARGUS PROBATOCEPHALUS|631|356|169189|
|FDF|Miscellaneous demersal fish|Atlantic sturgeon|ACIPENSER OXYRINCHUS|380|420|553269|
|FDF|Miscellaneous demersal fish|Shortnose sturgeon|ACIPENSER BREVIROSTRUM|379|422|161069|
|FDF|Miscellaneous demersal fish|Sturgeon unclassified|ACIPENSERIDAE|NA|421|161064|
|FDF|Miscellaneous demersal fish|Tomcod|MICROGADUS TOMCOD|453|453|164720|
|FDF|Miscellaneous demersal fish|Inshore lizardfish|OSTEICHTHYES|435|526|161030|
|FDF|Miscellaneous demersal fish|Largescale lizardfish|NA|433| NA|NA|
|FDF|Miscellaneous demersal fish|Lizardfish unclassified|NA|852| NA|NA|
|FDF|Miscellaneous demersal fish|Offshore lizardfish|NA|437| NA|NA|
|FDF|Miscellaneous demersal fish|Red lizardfish|NA|438| NA|NA|
|FDF|Miscellaneous demersal fish|Shortjaw lizardfish|NA|434| NA|NA|
|FLA|Other flatfish|Gulfstream flounder|CITHARICTHYS ARCTIFRONS|109|129|172719|
|FLA|Other flatfish|Hogchoker|TRINECTES MACULATUS|118|128|172982|
|FOU|Fourspot flounder|Fourspot flounder|PARALICHTHYS OBLONGUS|104|127|172739|
|GOO|Monkfish|Goosefish|LOPHIUS AMERICANUS|197|011|164499|
|GOO|Monkfish|Goosefish|LOPHIUS AMERICANUS|197|012|164499|
|HAD|Haddock|Haddock|MELANOGRAMMUS AEGLEFINUS|74|147|164744|
