"Code","species","NumAgeClassSize","agecl","length.ref","yr.upper","ref.year","new.length.ref"
"RED","Acadian redfish",2,1,16.14651666,2,1,8.07325833
"RED","Acadian redfish",2,2,22.77376714,4,3,19.4601419
"RED","Acadian redfish",2,3,26.52164588,6,5,24.64770651
"RED","Acadian redfish",2,4,28.64116664,8,7,27.58140626
"RED","Acadian redfish",2,5,29.83980956,10,9,29.2404881
"RED","Acadian redfish",2,6,30.51767262,12,11,30.17874109
"RED","Acadian redfish",2,7,30.90102142,14,13,30.70934702
"RED","Acadian redfish",2,8,31.11781492,16,15,31.00941817
"RED","Acadian redfish",2,9,31.24041716,18,17,31.17911604
"RED","Acadian redfish",2,10,31.30975184,20,19,31.2750845
"TYL","All tilefish",2,1,33.66627085,2,1,16.833135425
"TYL","All tilefish",2,2,58.64066705,4,3,46.15346895
"TYL","All tilefish",2,3,75.54975368,6,5,67.095210365
"TYL","All tilefish",2,4,86.99816703,8,7,81.273960355
"TYL","All tilefish",2,5,94.74939398,10,9,90.873780505
"TYL","All tilefish",2,6,99.99741548,12,11,97.37340473
"TYL","All tilefish",2,7,103.5506245,14,13,101.77401999
"TYL","All tilefish",2,8,105.9563491,16,15,104.7534868
"TYL","All tilefish",2,9,107.5851615,18,17,106.7707553
"TYL","All tilefish",2,10,108.6879601,20,19,108.1365608
"PLA","American plaice",2,1,23.93031483,2,1,11.965157415
"PLA","American plaice",2,2,38.30036308,4,3,31.115338955
"PLA","American plaice",2,3,46.92951353,6,5,42.614938305
"PLA","American plaice",2,4,52.11128022,8,7,49.520396875
"PLA","American plaice",2,5,55.22290821,10,9,53.667094215
"PLA","American plaice",2,6,57.09142706,12,11,56.157167635
"PLA","American plaice",2,7,58.21346436,14,13,57.65244571
"PLA","American plaice",2,8,58.88724281,16,15,58.550353585
"PLA","American plaice",2,9,59.29184378,18,17,59.089543295
"PLA","American plaice",2,10,59.53480488,20,19,59.41332433
"ANC","Anchovies",1,1,5.357583421,1,0.5,2.6787917105
"ANC","Anchovies",1,2,6.956710123,2,1.5,6.157146772
"ANC","Anchovies",1,3,8.252937035,3,2.5,7.604823579
"ANC","Anchovies",1,4,9.303638149,4,3.5,8.778287592
"ANC","Anchovies",1,5,10.15531992,5,4.5,9.7294790345
"ANC","Anchovies",1,6,10.84567975,6,5.5,10.500499835
"ANC","Anchovies",1,7,11.40527454,7,6.5,11.125477145
"ANC","Anchovies",1,8,11.85887327,8,7.5,11.632073905
"ANC","Anchovies",1,9,12.22655325,9,8.5,12.04271326
"ANC","Anchovies",1,10,12.52458886,10,9.5,12.375571055
"BFT","Atlantic bluefin tuna",3,1,147.9515423,3,1.5,73.97577115
"BFT","Atlantic bluefin tuna",3,2,217.0255898,6,4.5,182.48856605
"BFT","Atlantic bluefin tuna",3,3,257.520613,9,7.5,237.2731014
"BFT","Atlantic bluefin tuna",3,4,281.261033,12,10.5,269.390823
"BFT","Atlantic bluefin tuna",3,5,295.1789789,15,13.5,288.22000595
"BFT","Atlantic bluefin tuna",3,6,303.3384478,18,16.5,299.25871335
"BFT","Atlantic bluefin tuna",3,7,308.1219793,21,19.5,305.73021355
"BFT","Atlantic bluefin tuna",3,8,310.9263498,24,22.5,309.52416455
"BFT","Atlantic bluefin tuna",3,9,312.5704267,27,25.5,311.74838825
"BFT","Atlantic bluefin tuna",3,10,313.5342754,30,28.5,313.05235105
"COD","Atlantic cod",2,1,40.86004115,2,1,20.430020575
"COD","Atlantic cod",2,2,71.79809425,4,3,56.3290677
"COD","Atlantic cod",2,3,94.04019488,6,5,82.919144565
"COD","Atlantic cod",2,4,110.0305689,8,7,102.03538189
"COD","Atlantic cod",2,5,121.5264283,10,9,115.7784986
"COD","Atlantic cod",2,6,129.7910745,12,11,125.6587514
"COD","Atlantic cod",2,7,135.7327247,14,13,132.7618996
"COD","Atlantic cod",2,8,140.0043181,16,15,137.8685214
"COD","Atlantic cod",2,9,143.075268,18,17,141.53979305
"COD","Atlantic cod",2,10,145.2830467,20,19,144.17915735
"HAL","Atlantic halibut",2,1,45.78364552,2,1,22.89182276
"HAL","Atlantic halibut",2,2,86.96572824,4,3,66.37468688
"HAL","Atlantic halibut",2,3,120.3472757,6,5,103.65650197
"HAL","Atlantic halibut",2,4,147.4058322,8,7,133.87655395
"HAL","Atlantic halibut",2,5,169.3390718,10,9,158.372452
"HAL","Atlantic halibut",2,6,187.1178103,12,11,178.22844105
"HAL","Atlantic halibut",2,7,201.5289756,14,13,194.32339295
"HAL","Atlantic halibut",2,8,213.2104392,16,15,207.3697074
"HAL","Atlantic halibut",2,9,222.6792496,18,17,217.9448444
"HAL","Atlantic halibut",2,10,230.3545181,20,19,226.51688385
"HER","Atlantic herring",1,1,4.51958289,1,0.5,2.259791445
"HER","Atlantic herring",1,2,12.51066821,2,1.5,8.51512555
"HER","Atlantic herring",1,3,18.31338713,3,2.5,15.41202767
"HER","Atlantic herring",1,4,22.52702588,4,3.5,20.420206505
"HER","Atlantic herring",1,5,25.5867556,5,4.5,24.05689074
"HER","Atlantic herring",1,6,27.80857539,6,5.5,26.697665495
"HER","Atlantic herring",1,7,29.42194769,7,6.5,28.61526154
"HER","Atlantic herring",1,8,30.59349644,8,7.5,30.007722065
"HER","Atlantic herring",1,9,31.44421543,9,8.5,31.018855935
"HER","Atlantic herring",1,10,32.06196421,10,9.5,31.75308982
"MAK","Atlantic mackerel",1,1,20.74872838,1,0.5,10.37436419
"MAK","Atlantic mackerel",1,2,25.44594631,2,1.5,23.097337345
"MAK","Atlantic mackerel",1,3,29.03170616,3,2.5,27.238826235
"MAK","Atlantic mackerel",1,4,31.76900169,4,3.5,30.400353925
"MAK","Atlantic mackerel",1,5,33.85859698,5,4.5,32.813799335
"MAK","Atlantic mackerel",1,6,35.45375117,6,5.5,34.656174075
"MAK","Atlantic mackerel",1,7,36.67145917,7,6.5,36.06260517
"MAK","Atlantic mackerel",1,8,37.60103249,8,7.5,37.13624583
"MAK","Atlantic mackerel",1,9,38.3106497,9,8.5,37.955841095
"MAK","Atlantic mackerel",1,10,38.85235692,10,9.5,38.58150331
"MEN","Atlantic menhaden",1,1,8.103382106,1,0.5,4.051691053
"MEN","Atlantic menhaden",1,2,14.46499229,2,1.5,11.284187198
"MEN","Atlantic menhaden",1,3,19.45921366,3,2.5,16.962102975
"MEN","Atlantic menhaden",1,4,23.379958,4,3.5,21.41958583
"MEN","Atlantic menhaden",1,5,26.45796257,5,4.5,24.918960285
"MEN","Atlantic menhaden",1,6,28.87436906,6,5.5,27.666165815
"MEN","Atlantic menhaden",1,7,30.77138391,7,6.5,29.822876485
"MEN","Atlantic menhaden",1,8,32.26064714,8,7.5,31.516015525
"MEN","Atlantic menhaden",1,9,33.42980243,9,8.5,32.845224785
"MEN","Atlantic menhaden",1,10,34.34765502,10,9.5,33.888728725
"SAL","Atlantic salmon",2,1,61.36161749,2,1,30.680808745
"SAL","Atlantic salmon",2,2,95.03758718,4,3,78.199602335
"SAL","Atlantic salmon",2,3,113.5193512,6,5,104.27846919
"SAL","Atlantic salmon",2,4,123.6623584,8,7,118.5908548
"SAL","Atlantic salmon",2,5,129.2289587,10,9,126.44565855
"SAL","Atlantic salmon",2,6,132.2839737,12,11,130.7564662
"SAL","Atlantic salmon",2,7,133.9606016,14,13,133.12228765
"SAL","Atlantic salmon",2,8,134.8807544,16,15,134.420678
"SAL","Atlantic salmon",2,9,135.385745,18,17,135.1332497
"SAL","Atlantic salmon",2,10,135.6628897,20,19,135.52431735
"SDF","Atlantic states demersal fish",2,1,43.24405924,2,1,21.62202962
"SDF","Atlantic states demersal fish",2,2,64.90236922,4,3,54.07321423
"SDF","Atlantic states demersal fish",2,3,82.16808084,6,5,73.53522503
"SDF","Atlantic states demersal fish",2,4,95.93207248,8,7,89.05007666
"SDF","Atlantic states demersal fish",2,5,106.9045403,10,9,101.41830639
"SDF","Atlantic states demersal fish",2,6,115.6516432,12,11,111.27809175
"SDF","Atlantic states demersal fish",2,7,122.6247153,14,13,119.13817925
"SDF","Atlantic states demersal fish",2,8,128.1835539,16,15,125.4041346
"SDF","Atlantic states demersal fish",2,9,132.6149849,18,17,130.3992694
"SDF","Atlantic states demersal fish",2,10,136.1476617,20,19,134.3813233
"BWH","Baleen whales",9,1,2097.36,9,4.5,1048.68
"BWH","Baleen whales",9,2,2097.36,18,13.5,2097.36
"BWH","Baleen whales",9,3,2097.36,27,22.5,2097.36
"BWH","Baleen whales",9,4,2097.36,36,31.5,2097.36
"BWH","Baleen whales",9,5,2097.36,45,40.5,2097.36
"BWH","Baleen whales",9,6,2097.36,54,49.5,2097.36
"BWH","Baleen whales",9,7,2097.36,63,58.5,2097.36
"BWH","Baleen whales",9,8,2097.36,72,67.5,2097.36
"BWH","Baleen whales",9,9,2097.36,81,76.5,2097.36
"BWH","Baleen whales",9,10,2097.36,90,85.5,2097.36
"BIL","Billfish",3,1,185.7472589,3,1.5,92.87362945
"BIL","Billfish",3,2,259.1143195,6,4.5,222.4307892
"BIL","Billfish",3,3,301.3588575,9,7.5,280.2365885
"BIL","Billfish",3,4,325.6831385,12,10.5,313.520998
"BIL","Billfish",3,5,339.6889881,15,13.5,332.6860633
"BIL","Billfish",3,6,347.7535152,18,16.5,343.72125165
"BIL","Billfish",3,7,352.3970462,21,19.5,350.0752807
"BIL","Billfish",3,8,355.0707777,24,22.5,353.73391195
"BIL","Billfish",3,9,356.6103045,27,25.5,355.8405411
"BIL","Billfish",3,10,357.4967594,30,28.5,357.05353195
"BSB","Black sea bass",2,1,27.039051,2,1,13.5195255
"BSB","Black sea bass",2,2,42.43262599,4,3,34.735838495
"BSB","Black sea bass",2,3,50.38881577,6,5,46.41072088
"BSB","Black sea bass",2,4,54.50098307,8,7,52.44489942
"BSB","Black sea bass",2,5,56.62636223,10,9,55.56367265
"BSB","Black sea bass",2,6,57.72486728,12,11,57.175614755
"BSB","Black sea bass",2,7,58.29263109,14,13,58.008749185
